net,length_um
_029085_,4262.165
_018418_,4100.825
_029118_,4042.805
_029129_,3442.305
net3,3400.68
_027128_,3352.865
net33,3343.77
_018405_,3332.3
_029096_,3203.805
_029180_,3085.775
net27,3054.97
net11,3053.775
net135,3017.505
net123,3003.01
net136,2944.53
_050449_,2813.55
_050163_,2793.575
net140,2745.315
_050306_,2706.97
net6,2703.65
_050736_,2693.665
_029191_,2690.465
net4,2663.695
net125,2659.5
_049162_,2648.89
_049018_,2643.04
_049733_,2634.285
_050593_,2631.32
net134,2631.13
net132,2614.21
_049590_,2606.9
_047605_,2600.805
_050020_,2596.035
_020376_,2586.9
_051163_,2581.36
_050879_,2575.735
_048578_,2566.45
_037787_,2562.48
_048875_,2562.22
_047175_,2555.83
_047318_,2554.72
_049876_,2539.26
_051873_,2535.025
_049447_,2522.775
_052157_,2510.35
_054718_,2503.865
net133,2497.615
_048321_,2472.08
_047749_,2471.325
_051448_,2458.82
_049290_,2451.65
net15,2446.375
net139,2436.675
_047893_,2425.175
_029202_,2405.025
net14,2396.65
net129,2387.84
_048178_,2387.835
net12,2364.09
_046439_,2359.31
_029939_,2352.225
_037648_,2338.65
_053695_,2325.03
_054005_,2322.88
_050998_,2319.505
net17,2313.385
net31,2309.47
net324,2305.675
net30,2303.86
_022527_,2299.67
net8,2295.625
_052559_,2294.445
_053128_,2280.29
_037362_,2275.48
net112,2262.635
_046298_,2255.89
_037217_,2254.995
_023128_,2254.165
net131,2253.24
_023555_,2249.5
net10,2248.73
_030911_,2247.235
_052418_,2244.95
_030770_,2238.34
net5,2234.95
_022960_,2223.895
net156,2223.675
_047006_,2223.175
net9,2220.345
net22,2220.195
_045630_,2219.535
net111,2217.525
_037505_,2211.045
_047438_,2195.52
net57,2195.35
_045749_,2185.85
_051283_,2184.735
net2,2183.465
net96,2183.2
_037062_,2179.865
net19,2179.125
net32,2174.22
_023390_,2173.755
_029513_,2172.375
_045487_,2171.905
net113,2167.565
_053009_,2164.21
_018430_,2161.785
_037818_,2157.64
_051708_,2156.36
_048709_,2153.01
net141,2148.745
net120,2137.21
_037830_,2133.755
net119,2133.39
_054410_,2129.3
net130,2115.245
_030223_,2113.9
_031194_,2106.34
_018388_,2102.705
net7,2101.43
_053436_,2098.59
_028944_,2095.755
net124,2091.6
_031338_,2090.335
_038677_,2089.355
_051567_,2086.56
_051992_,2085.185
_018858_,2079.925
_052866_,2076.89
_031053_,2065.44
_052700_,2063.81
_037934_,2055.14
_037821_,2051.665
_048012_,2048.105
net127,2046.92
net52,2036.595
_052276_,2035.565
_044870_,2034.3
_027285_,2031.5
_053860_,2030.35
_045190_,2026.495
net23,2022.77
_020098_,2015.135
_029369_,2012.175
_038059_,2009.475
_046723_,2008.86
_053293_,2000.88
_030364_,1986.375
_045344_,1983.785
_030506_,1982.27
net128,1980.84
_045890_,1980.2
_046582_,1975.255
_044586_,1975.015
_024417_,1967.705
_046031_,1965.74
_008839_,1964.915
_054291_,1964.315
_026862_,1963.545
net164,1960.36
_037913_,1950.8
net122,1942.665
_029140_,1938.925
_024295_,1937.96
_030080_,1932.62
_027636_,1926.395
net176,1925.205
_023247_,1924.42
net182,1923.62
_028800_,1919.495
net137,1905.745
_023680_,1900.135
_019718_,1900.005
_029796_,1898.99
net142,1897.085
_022355_,1889.525
_024125_,1882.64
_036661_,1881.495
net29,1878.015
_018385_,1870.53
_029107_,1863.705
net365,1863.615
_029654_,1852.08
_022695_,1848.4
_022838_,1846.205
_037800_,1845.645
_026346_,1842.45
net118,1838.46
_025718_,1838.215
net116,1837.395
_037952_,1834.36
_055069_,1831.87
_026574_,1829.135
_024558_,1825.825
_019956_,1823.48
net72,1821.91
_046864_,1817.88
net28,1817.835
net121,1817.38
_029228_,1814.64
_027495_,1807.185
_036816_,1805.97
_037795_,1799.705
_054575_,1798.335
_031488_,1796.785
_018390_,1796.105
net210,1794.65
_053564_,1791.325
net21,1790.435
_054928_,1790.09
net363,1779.83
_054148_,1774.555
_037809_,1756.66
_037786_,1755.33
_018943_,1752.98
_025575_,1752.6
net44,1748.015
net80,1737.96
net126,1737.04
_024052_,1734.74
_024893_,1725.57
_037921_,1724.735
net237,1719.515
_028395_,1719.335
_027787_,1718.375
_026205_,1716.28
net2806,1706.185
_038649_,1704.65
_028536_,1702.98
_025552_,1701.46
net100,1691.02
_026063_,1690.155
_026981_,1688.635
net282,1686.115
net106,1684.695
_018359_,1682.29
_025406_,1682.02
_045011_,1676.73
_025088_,1674.03
net238,1672.6
net20,1664.095
net171,1656.985
_029157_,1656.12
net71,1653.93
_037955_,1652.25
net206,1650.87
_055218_,1650.6
net138,1649.685
net146,1644.67
_038632_,1632.88
net78,1630.02
net48,1626.96
_039461_,1625.43
_027141_,1621.515
net195,1616.715
net81,1615.545
_018793_,1613.765
net314,1613.14
net189,1607.24
net148,1606.82
net25,1598.155
_038153_,1597.205
_028254_,1591.5
_038603_,1591.43
_025264_,1589.13
_040861_,1588.78
_038396_,1586.49
net16,1581.26
_038641_,1581.14
_038597_,1577.185
_037912_,1574.78
_037882_,1570.465
net58,1554.69
_038652_,1551.745
_027930_,1545.445
_038646_,1541.305
_037931_,1538.005
net320,1535.925
_038663_,1529.455
net117,1516.54
net355,1515.52
net256,1514.82
_018341_,1513.455
net42,1513.065
_038617_,1506.3
_038018_,1504.57
net192,1502.075
net18,1500.205
net115,1499.42
net114,1495.005
net24,1487.99
net155,1487.635
_037870_,1486.95
net174,1486.575
_038669_,1485.745
net75,1477.705
_018389_,1477.09
net279,1476.195
_037842_,1475.07
net26,1474.81
_037822_,1474.37
_018442_,1472.78
_037943_,1470.28
_037891_,1467.905
net168,1466.71
_037837_,1462.15
net366,1458.755
_029213_,1451.725
net263,1440.83
_026492_,1439.075
net190,1435.785
net364,1433.74
net272,1433.465
_038071_,1432.11
_039447_,1421.975
_032678_,1418.835
net311,1416.105
_038599_,1412.995
_018380_,1408.715
_018379_,1407.78
net82,1406.97
_038960_,1404.46
net13,1398.885
net55,1396.03
net352,1391.81
_027442_,1385.82
_032138_,1385.765
_018775_,1384.145
_031879_,1380.05
_038392_,1378.455
_020082_,1365.055
_032154_,1365.005
net1015,1357.685
_032915_,1357.53
_018803_,1352.615
_038242_,1351.305
net273,1349.645
net257,1346.615
_032800_,1341.73
net218,1341.145
_018391_,1339.955
_038666_,1336.885
_037789_,1336.795
net367,1335.26
net336,1329.7
_038905_,1326.025
_032851_,1321.835
_018360_,1320.71
_041006_,1320.15
_037957_,1317.77
_037879_,1316.985
_031800_,1314.065
_031650_,1312.5
_037868_,1308.99
_039460_,1308.02
net344,1303.195
_031801_,1299.955
_037854_,1299.42
net250,1299.27
net227,1298.17
net362,1296.56
_031918_,1295.055
_031647_,1287.775
net275,1284.34
_031654_,1284.335
_031645_,1284.3
_018397_,1284.17
_031651_,1281.765
_038664_,1281.765
net197,1281.575
_018332_,1279.12
_018795_,1278.295
net70,1277.14
_034184_,1276.525
net35,1272.57
_032126_,1272.145
_037874_,1271.625
net163,1270.785
_035212_,1267.935
net88,1267.88
_024020_,1265.415
_032131_,1264.995
_037862_,1264.59
_033063_,1262.355
_037960_,1262.135
_026489_,1255.885
_037897_,1253.795
_038595_,1251.675
_031908_,1251.42
_037832_,1251.145
_032634_,1249.97
_032148_,1249.15
_040601_,1248.87
_037790_,1246.755
_031898_,1245.33
_037826_,1244.775
_032156_,1243.935
net219,1241.09
_033989_,1241.02
net107,1236.05
_041049_,1234.66
_032551_,1233.775
_037825_,1224.54
_037784_,1224.41
_040602_,1223.455
net84,1221.505
net444,1219.17
net73,1218.69
_033010_,1215.17
_041245_,1211.23
_032151_,1210.63
_037924_,1209.455
_031877_,1209.2
_038655_,1207.945
_031660_,1207.575
_028081_,1206.725
net252,1206.325
net53,1205.27
_041217_,1202.93
_031880_,1202.81
_031875_,1202.54
_038588_,1202.51
_032791_,1201.66
_032149_,1201.04
_032645_,1200.365
_037803_,1195.48
_031661_,1194.905
_032137_,1193.225
net353,1191.625
_037793_,1191.03
_037846_,1191.02
_018424_,1190.935
net229,1190.705
_039428_,1187.55
_032132_,1186.105
_032143_,1184.295
_027437_,1181.525
_038620_,1180.32
_032136_,1179.75
_032619_,1178.335
_032127_,1178.1
_037835_,1178.085
net235,1174.03
_039470_,1174.025
_041010_,1170.97
net432,1168.57
_018396_,1168.315
_038676_,1162.965
net441,1161.2
net239,1156.9
_038600_,1156.84
net345,1156.57
net234,1156.205
net66,1155.785
_038679_,1155.675
_034911_,1155.515
_018368_,1155.13
_037944_,1154.75
net209,1153.77
_037948_,1152.135
net91,1150.545
_025876_,1149.505
_040382_,1148.615
_040380_,1148.535
_038594_,1148.315
_033209_,1147.055
_037836_,1146.485
_031763_,1143.205
_038622_,1142.5
_019633_,1140.045
net102,1137.72
_018383_,1133.595
_039432_,1131.59
net187,1131.275
_037843_,1129.83
_018944_,1129.595
_032644_,1128.63
net149,1126.185
net62,1125.18
_020824_,1123.075
_019102_,1121.45
net270,1120.34
